flrID,catalog,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,submissionTime,versionId,link,linkedEvents,sentNotifications,data_evento,duracao_minutos,instrumentos
2026-04-23T04:41:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-23 04:41:00+00:00,2026-04-23 04:44:00+00:00,2026-04-23 04:46:00+00:00,M1.2,N16E40,14420.0,Simultaneous flaring from ARs 4419 (N15W52) and 4420 (N16E40).,2026-04-27T12:19Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45786/-1,[{'activityID': '2026-04-23T05:12:00-CME-001'}],,2026-04-23,5.0,GOES-P: EXIS 1.0-8.0
2026-04-23T04:50:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-23 04:50:00+00:00,2026-04-23 04:59:00+00:00,2026-04-23 05:08:00+00:00,M1.2,N16E35,14420.0,,2026-04-27T12:00Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45787/-1,,,2026-04-23,18.0,GOES-P: EXIS 1.0-8.0
2026-04-23T08:40:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-23 08:40:00+00:00,2026-04-23 08:48:00+00:00,2026-04-23 08:53:00+00:00,M4.3,N15W61,14419.0,,2026-04-27T12:21Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45788/-1,[{'activityID': '2026-04-23T09:12:00-CME-001'}],,2026-04-23,13.0,GOES-P: EXIS 1.0-8.0
2026-04-23T13:42:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-23 13:42:00+00:00,2026-04-23 14:00:00+00:00,2026-04-23 14:11:00+00:00,M1.7,N17W66,14419.0,,2026-04-23T14:17Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45798/-1,[{'activityID': '2026-04-23T14:24:00-CME-001'}],,2026-04-23,29.0,GOES-P: EXIS 1.0-8.0
2026-04-23T17:00:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-23 17:00:00+00:00,2026-04-23 17:08:00+00:00,2026-04-23 17:14:00+00:00,M4.9,N15W67,14419.0,,2026-04-27T12:22Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45805/-1,[{'activityID': '2026-04-23T18:00:00-CME-001'}],,2026-04-23,14.0,GOES-P: EXIS 1.0-8.0
2026-04-24T00:51:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-24 00:51:00+00:00,2026-04-24 01:07:00+00:00,2026-04-24 01:13:00+00:00,X2.4,N16W68,14419.0,,2026-04-24T01:23Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45828/-1,[{'activityID': '2026-04-24T01:24:00-CME-001'}],"[{'messageID': '20260424-AL-001', 'messageIssueTime': '2026-04-24T01:08Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45829/1'}, {'messageID': '20260424-AL-002', 'messageIssueTime': '2026-04-24T01:25Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45830/1'}]",2026-04-24,22.0,GOES-P: EXIS 1.0-8.0
2026-04-24T08:01:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-24 08:01:00+00:00,2026-04-24 08:13:00+00:00,2026-04-24 08:18:00+00:00,X2.5,N16W70,14419.0,,2026-04-24T11:07Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45836/-1,[{'activityID': '2026-04-24T08:24:00-CME-001'}],"[{'messageID': '20260424-AL-004', 'messageIssueTime': '2026-04-24T08:14Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45837/1'}, {'messageID': '20260424-AL-005', 'messageIssueTime': '2026-04-24T11:10Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45838/1'}]",2026-04-24,17.0,GOES-P: EXIS 1.0-8.0
2026-04-24T08:57:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-24 08:57:00+00:00,2026-04-24 09:07:00+00:00,2026-04-24 09:19:00+00:00,M1.9,S05E40,14423.0,,2026-04-24T11:14Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45839/-1,[{'activityID': '2026-04-24T09:08:00-CME-001'}],,2026-04-24,22.0,GOES-P: EXIS 1.0-8.0
2026-04-24T12:34:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-24 12:34:00+00:00,2026-04-24 13:01:00+00:00,2026-04-24 13:14:00+00:00,M1.7,S06E38,14423.0,"Concurrent brightening with an unnumbered region around the east limb ~N06. That area brightens alongside AR 14423, with AR 14423 taking the peak brightness at 2026-04-24T13:01Z, unable to cleanly separate the brightenings in the GOES-P X-ray flux timeline.",2026-04-24T13:29Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45848/-1,,,2026-04-24,40.0,GOES-P: EXIS 1.0-8.0
2026-04-24T17:54:00-FLR-001,M2M_CATALOG,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2026-04-24 17:54:00+00:00,2026-04-24 18:15:00+00:00,2026-04-24 18:30:00+00:00,M6.4,N15W78,14419.0,,2026-04-24T18:50Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/45860/-1,[{'activityID': '2026-04-24T19:30:00-CME-001'}],"[{'messageID': '20260424-AL-008', 'messageIssueTime': '2026-04-24T18:13Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45861/1'}, {'messageID': '20260424-AL-009', 'messageIssueTime': '2026-04-24T18:23Z', 'messageURL': 'https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/Alert/45862/1'}]",2026-04-24,36.0,GOES-P: EXIS 1.0-8.0
